,Player,Team,TW,TL,Age,Salary,PTS,GP,FG%,3P%,FT%,REB,AST,STL,BLK,DD2,TD3
374,Meyers Leonard,MIL,58,24,31.0,713558.0,4.8,9.0,48.3,38.9,88.9,3.8,0.1,0.2,0.0,1.0,0.0
375,Garrison Mathews,ATL,41,41,26.0,2000000.0,4.8,54.0,36.3,35.0,90.6,1.4,0.5,0.4,0.1,0.0,0.0
376,Chuma Okeke,ORL,34,48,24.0,3433320.0,4.7,27.0,35.2,30.2,76.2,3.6,1.4,0.7,0.4,0.0,0.0
377,Christian Braun,DEN,53,29,22.0,2808600.0,4.7,76.0,49.5,35.4,62.5,2.4,0.8,0.5,0.2,0.0,0.0
378,Day'Ron Sharpe,BKN,45,37,21.0,2109480.0,4.7,48.0,54.4,54.5,63.6,4.2,0.8,0.3,0.7,2.0,0.0
379,Keon Johnson,POR,33,49,21.0,2681040.0,4.7,40.0,37.6,34.6,65.9,1.1,1.5,0.5,0.2,0.0,0.0
380,Dean Wade,CLE,51,31,26.0,1930681.0,4.7,44.0,41.2,35.4,65.2,3.4,0.8,0.6,0.5,0.0,0.0
381,TyTy Washington Jr.,HOU,22,60,21.0,,4.7,31.0,36.3,23.8,55.6,1.5,1.5,0.5,0.1,0.0,0.0
382,Malachi Flynn,TOR,41,41,25.0,2145720.0,4.6,53.0,36.0,35.3,75.8,1.4,1.3,0.4,0.1,0.0,0.0
383,Gary Payton II,GSW,44,38,30.0,8300000.0,4.6,22.0,59.4,50.0,85.7,3.1,1.4,1.0,0.2,0.0,0.0
384,Dalano Banton,TOR,41,41,23.0,1563518.0,4.6,31.0,42.3,29.4,70.8,1.5,1.2,0.4,0.4,0.0,0.0
385,Davis Bertans,DAL,38,44,30.0,16000000.0,4.6,45.0,43.1,39.0,86.7,1.2,0.5,0.2,0.2,0.0,0.0
386,Kira Lewis Jr.,NOP,42,40,22.0,,4.6,25.0,45.5,44.1,86.4,1.3,0.9,0.4,0.1,0.0,0.0
387,Justin Holiday,DAL,38,44,34.0,5987975.0,4.5,46.0,37.7,32.2,62.5,1.2,0.9,0.4,0.4,0.0,0.0
388,Omer Yurtseven,MIA,44,38,25.0,1752638.0,4.4,9.0,59.3,42.9,83.3,2.6,0.2,0.2,0.2,0.0,0.0
389,Thaddeus Young,TOR,41,41,35.0,8000000.0,4.4,54.0,54.5,17.6,69.2,3.1,1.4,1.0,0.1,0.0,0.0
390,JaVale McGee,DAL,38,44,35.0,5461219.0,4.4,42.0,64.0,40.0,58.5,2.5,0.3,0.1,0.6,0.0,0.0
391,AJ Green,MIL,58,24,23.0,508891.0,4.4,35.0,42.4,41.9,100.0,1.3,0.6,0.2,0.0,0.0,0.0
392,Jarrett Culver,ATL,41,41,24.0,260295.0,4.4,10.0,39.5,8.3,69.2,3.8,0.6,0.6,0.2,0.0,0.0
393,Goga Bitadze,ORL,34,48,23.0,5377520.0,4.4,38.0,55.2,23.1,54.8,3.6,1.0,0.4,0.7,2.0,0.0
394,Haywood Highsmith,MIA,44,38,26.0,1752638.0,4.4,54.0,43.1,33.9,46.4,3.5,0.8,0.7,0.3,2.0,0.0
395,Bismack Biyombo,PHX,45,37,30.0,2905851.0,4.3,61.0,57.8,0.0,35.7,4.3,0.9,0.3,1.4,3.0,0.0
396,Moses Brown,BKN,45,37,23.0,824041.0,4.3,36.0,63.5,0.0,45.8,3.9,0.1,0.1,0.4,3.0,0.0
397,Justin Minaya,POR,33,49,24.0,35096.0,4.3,4.0,30.4,25.0,0.0,3.8,1.0,0.5,1.3,0.0,0.0
398,Michael Carter-Williams,ORL,34,48,31.0,652829.0,4.3,4.0,42.9,33.3,57.1,1.3,1.8,0.3,0.3,0.0,0.0
399,Xavier Sneed,CHA,27,55,25.0,102910.0,4.3,4.0,50.0,50.0,100.0,1.3,1.3,0.0,0.3,0.0,0.0
400,McKinley Wright IV,DAL,38,44,24.0,,4.2,27.0,46.9,32.1,68.4,1.7,2.1,0.3,0.2,0.0,0.0
401,Admiral Schofield,ORL,34,48,26.0,877940.0,4.2,37.0,45.1,32.4,91.3,1.7,0.8,0.2,0.1,0.0,0.0
402,Ish Wainright,PHX,45,37,28.0,,4.2,60.0,37.0,32.9,83.9,2.3,0.9,0.6,0.4,0.0,0.0
403,Paul Reed,PHI,54,28,24.0,1782621.0,4.2,69.0,59.3,16.7,74.5,3.8,0.4,0.7,0.7,5.0,0.0
404,Kevon Harris,ORL,34,48,26.0,508891.0,4.1,34.0,43.9,37.2,75.6,2.1,0.5,0.5,0.1,0.0,0.0
405,Blake Griffin,BOS,57,25,34.0,2905851.0,4.1,41.0,48.5,34.8,65.6,3.8,1.5,0.3,0.2,0.0,0.0
406,Matisse Thybulle,POR,33,49,26.0,4379526.0,4.1,71.0,43.5,36.5,67.9,2.0,0.7,1.2,0.5,0.0,0.0
407,Serge Ibaka,MIL,58,24,33.0,2905851.0,4.1,16.0,48.1,33.3,61.5,2.8,0.3,0.1,0.4,0.0,0.0
408,Isaiah Roby,NYK,47,35,25.0,2330681.0,4.1,42.0,43.2,30.0,48.8,2.6,0.9,0.4,0.2,0.0,0.0
409,Olivier Sarr,OKC,40,42,24.0,257371.0,4.0,9.0,50.0,12.5,71.4,3.4,0.4,0.1,0.6,1.0,0.0
410,Daishen Nix,HOU,22,60,21.0,1563518.0,4.0,57.0,34.2,28.6,66.7,1.7,2.3,0.5,0.1,0.0,0.0
411,Patrick Baldwin Jr.,GSW,44,38,20.0,,3.9,31.0,39.4,38.1,66.7,1.3,0.4,0.2,0.1,0.0,0.0
412,Dominick Barlow,SAS,22,60,20.0,508891.0,3.9,28.0,53.5,0.0,72.0,3.6,0.9,0.4,0.7,2.0,0.0
413,Bruno Fernando,ATL,41,41,24.0,2717391.0,3.9,39.0,52.7,0.0,70.0,3.5,0.8,0.2,0.9,1.0,0.0
414,Aaron Holiday,ATL,41,41,26.0,1968175.0,3.9,63.0,41.8,40.9,84.4,1.2,1.4,0.6,0.2,0.0,0.0
415,Gorgui Dieng,SAS,22,60,33.0,4105236.0,3.9,31.0,38.5,28.0,76.9,3.5,1.7,0.1,0.5,2.0,0.0
416,Jabari Walker,POR,33,49,20.0,1017781.0,3.9,56.0,41.9,28.6,75.6,2.3,0.6,0.2,0.2,0.0,0.0
417,Udonis Haslem,MIA,44,38,43.0,2905851.0,3.9,7.0,34.5,33.3,80.0,1.6,0.0,0.1,0.3,0.0,0.0
418,Dyson Daniels,NOP,42,40,20.0,5508600.0,3.8,59.0,41.8,31.4,65.0,3.2,2.3,0.7,0.2,0.0,0.0
419,Xavier Cooks,WAS,35,47,27.0,140384.0,3.8,10.0,60.7,0.0,40.0,3.8,0.6,0.6,0.4,1.0,0.0
420,JT Thor,CHA,27,55,20.0,1563518.0,3.8,69.0,39.9,31.7,70.2,2.2,0.5,0.3,0.3,0.0,0.0
421,Caleb Houstan,ORL,34,48,20.0,2000000.0,3.8,51.0,36.3,33.8,83.3,1.9,0.6,0.2,0.1,0.0,0.0
422,Furkan Korkmaz,PHI,54,28,25.0,5000000.0,3.8,37.0,43.2,39.1,72.2,1.1,0.6,0.3,0.1,0.0,0.0
423,Luke Kornet,BOS,57,25,27.0,2133278.0,3.8,69.0,66.5,23.1,82.1,2.9,0.8,0.2,0.7,0.0,0.0
424,Markieff Morris,DAL,38,44,33.0,2905851.0,3.8,35.0,40.9,39.4,100.0,2.0,0.9,0.3,0.1,1.0,0.0
425,Darius Days,HOU,22,60,23.0,508891.0,3.8,4.0,41.7,30.0,100.0,1.5,0.3,0.0,0.3,0.0,0.0
426,Jordan McLaughlin,MIN,42,40,27.0,2160000.0,3.7,43.0,42.1,30.8,83.3,1.4,3.4,0.7,0.1,0.0,0.0
427,Orlando Robinson,MIA,44,38,22.0,386055.0,3.7,31.0,52.8,0.0,71.0,4.1,0.8,0.4,0.4,0.0,0.0
428,A.J. Lawson,DAL,38,44,22.0,,3.7,15.0,50.0,40.0,25.0,1.4,0.1,0.1,0.0,0.0,0.0
429,David Duke Jr.,BKN,45,37,23.0,,3.7,23.0,46.2,8.3,70.6,1.3,0.9,0.4,0.0,0.0,0.0
430,Nathan Knight,MIN,42,40,25.0,1836090.0,3.7,38.0,56.8,36.4,68.4,1.5,0.3,0.3,0.2,0.0,0.0
431,Matt Ryan,MIN,42,40,26.0,806097.0,3.6,34.0,37.0,38.1,83.3,0.8,0.5,0.1,0.0,0.0,0.0
432,Bryn Forbes,MIN,42,40,29.0,2298385.0,3.6,25.0,36.1,30.4,100.0,0.6,0.7,0.3,0.1,0.0,0.0
433,P.J. Tucker,PHI,54,28,38.0,,3.5,75.0,42.7,39.3,82.6,3.9,0.8,0.5,0.2,0.0,0.0
434,Udoka Azubuike,UTA,37,45,23.0,2174880.0,3.5,36.0,81.9,0.0,35.0,3.3,0.3,0.2,0.4,0.0,0.0
435,Miles McBride,NYK,47,35,22.0,1563518.0,3.5,64.0,35.8,29.9,66.7,0.8,1.1,0.6,0.1,0.0,0.0
436,Damian Jones,UTA,37,45,28.0,2298385.0,3.5,41.0,64.0,58.8,75.9,3.0,0.4,0.2,0.5,1.0,0.0
437,Wesley Matthews,MIL,58,24,36.0,2905851.0,3.4,52.0,36.3,31.5,85.7,2.2,0.7,0.4,0.3,0.0,0.0
438,Amir Coffey,LAC,44,38,26.0,3395062.0,3.4,50.0,38.6,27.5,77.8,1.1,1.1,0.1,0.1,0.0,0.0
439,Micah Potter,UTA,37,45,25.0,508891.0,3.4,7.0,66.7,57.1,0.0,2.3,0.6,0.1,0.0,1.0,0.0
440,Taj Gibson,WAS,35,47,38.0,2905851.0,3.4,49.0,52.0,33.3,71.4,1.9,0.7,0.3,0.2,0.0,0.0
441,Jericho Sims,NYK,47,35,24.0,1639842.0,3.4,52.0,77.6,0.0,75.0,4.7,0.5,0.3,0.5,2.0,0.0
442,Kai Jones,CHA,27,55,22.0,2909040.0,3.4,46.0,55.8,21.1,73.1,2.7,0.3,0.4,0.7,1.0,0.0
443,Anthony Gill,WAS,35,47,30.0,1836090.0,3.3,59.0,53.8,13.8,73.1,1.7,0.6,0.1,0.2,0.0,0.0
444,Boban Marjanovic,HOU,22,60,34.0,4101478.0,3.3,31.0,68.3,0.0,74.1,1.9,0.3,0.2,0.1,0.0,0.0
445,Raul Neto,CLE,51,31,31.0,2463490.0,3.3,48.0,51.8,28.6,91.2,1.0,1.6,0.4,0.1,0.0,0.0
446,Peyton Watson,DEN,53,29,20.0,2193960.0,3.3,23.0,49.2,42.9,55.0,1.6,0.5,0.1,0.5,0.0,0.0
447,Jared Rhoden,DET,17,65,23.0,307089.0,3.2,14.0,38.6,25.0,100.0,2.6,0.3,0.3,0.1,0.0,0.0
448,Christian Koloko,TOR,41,41,23.0,1500000.0,3.1,58.0,48.0,8.3,62.7,2.9,0.5,0.4,1.0,0.0,0.0
449,Max Christie,LAL,43,39,20.0,1017781.0,3.1,41.0,41.5,41.9,87.5,1.8,0.5,0.2,0.2,0.0,0.0
450,Jordan Hall,SAS,22,60,21.0,193027.0,3.1,9.0,32.1,20.0,77.8,1.3,1.2,0.1,0.0,0.0,0.0
451,Richaun Holmes,SAC,48,34,29.0,11215260.0,3.1,42.0,61.8,62.5,78.9,1.9,0.2,0.1,0.3,1.0,0.0
452,Josh Minott,MIN,42,40,20.0,1017781.0,3.1,15.0,50.0,33.3,100.0,1.7,0.3,0.3,0.4,1.0,0.0
453,Robin Lopez,CLE,51,31,35.0,2905851.0,3.0,37.0,64.0,50.0,77.8,1.4,0.5,0.1,0.2,0.0,0.0
454,Jacob Gilyard,MEM,51,31,24.0,5849.0,3.0,1.0,33.3,33.3,0.0,4.0,7.0,3.0,0.0,0.0,0.0
455,Jake LaRavia,MEM,51,31,21.0,3047640.0,3.0,35.0,38.9,33.8,77.8,1.8,0.6,0.3,0.1,0.0,0.0
456,Jamaree Bouyea,WAS,35,47,24.0,116986.0,3.0,5.0,42.9,33.3,50.0,1.2,0.8,0.8,0.4,0.0,0.0
457,Trevelin Queen,IND,35,47,26.0,838891.0,3.0,7.0,24.1,13.3,100.0,2.4,0.9,0.3,0.7,0.0,0.0
458,Tyler Dorsey,DAL,38,44,27.0,201802.0,3.0,3.0,80.0,50.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
459,Usman Garuba,HOU,22,60,21.0,2471160.0,3.0,75.0,48.6,40.7,61.7,4.1,0.9,0.6,0.4,0.0,0.0
460,Juan Toscano-Anderson,UTA,37,45,30.0,2133278.0,3.0,52.0,44.8,18.6,79.2,2.4,1.3,0.3,0.2,0.0,0.0
461,Dru Smith,BKN,45,37,25.0,374357.0,2.9,15.0,40.0,26.3,100.0,1.6,1.5,0.7,0.3,0.0,0.0
462,Jason Preston,LAC,44,38,23.0,1563518.0,2.9,14.0,43.9,27.8,0.0,1.6,1.9,0.1,0.0,0.0,0.0
463,Juancho Hernangomez,TOR,41,41,27.0,,2.9,42.0,42.1,25.4,56.3,2.9,0.6,0.4,0.1,1.0,0.0
464,Frank Ntilikina,DAL,38,44,24.0,2036318.0,2.9,47.0,36.4,25.4,66.7,1.3,1.2,0.3,0.1,0.0,0.0
465,Terry Taylor,CHI,40,42,23.0,1703902.0,2.9,31.0,52.0,26.3,54.5,1.5,0.3,0.1,0.2,0.0,0.0
466,Carlik Jones,CHI,40,42,25.0,612162.0,2.9,7.0,40.0,50.0,62.5,0.7,0.9,0.3,0.0,0.0,0.0
467,James Johnson,IND,35,47,36.0,3841067.0,2.8,18.0,44.9,20.0,50.0,1.7,0.8,0.4,0.3,0.0,0.0
468,Kessler Edwards,SAC,48,34,22.0,1637966.0,2.8,36.0,38.7,30.9,73.3,1.7,0.6,0.4,0.2,0.0,0.0
469,Moussa Diabate,LAC,44,38,21.0,508891.0,2.7,22.0,51.1,50.0,62.5,2.3,0.2,0.3,0.4,0.0,0.0
470,Jaden Springer,PHI,54,28,20.0,2125200.0,2.6,16.0,48.6,40.0,75.0,0.9,0.5,0.4,0.2,0.0,0.0
471,Mamadi Diakite,CLE,51,31,26.0,508891.0,2.6,22.0,48.0,33.3,100.0,1.4,0.4,0.2,0.4,0.0,0.0
472,Isaiah Mobley,CLE,51,31,23.0,508891.0,2.6,12.0,42.9,37.5,100.0,1.7,0.3,0.3,0.3,0.0,0.0
473,Ish Smith,DEN,53,29,34.0,,2.5,43.0,39.7,16.7,50.0,1.3,2.3,0.2,0.2,0.0,0.0
474,Lester Quinones,GSW,44,38,22.0,129405.0,2.5,4.0,40.0,50.0,66.7,0.8,0.5,0.3,0.0,0.0,0.0
475,Frank Kaminsky,HOU,22,60,30.0,2463490.0,2.5,36.0,49.2,39.4,87.5,1.4,0.9,0.2,0.1,0.0,0.0
476,Jeff Dowtin Jr.,TOR,41,41,26.0,,2.4,25.0,43.9,31.3,66.7,0.9,1.2,0.4,0.1,0.0,0.0
477,Neemias Queta,SAC,48,34,23.0,508891.0,2.4,5.0,66.7,0.0,0.0,2.2,0.2,0.0,0.4,0.0,0.0
478,Theo Pinson,DAL,38,44,27.0,1968175.0,2.4,40.0,35.6,35.5,84.6,1.6,1.2,0.2,0.0,1.0,1.0
479,John Butler Jr.,POR,33,49,20.0,,2.4,19.0,32.1,22.9,75.0,0.9,0.6,0.4,0.5,0.0,0.0
480,Scotty Pippen Jr.,LAL,43,39,22.0,,2.3,6.0,33.3,33.3,55.6,0.7,0.3,0.3,0.2,0.0,0.0
481,Trent Forrest,ATL,41,41,25.0,508891.0,2.3,23.0,41.7,0.0,66.7,1.6,1.7,0.3,0.1,0.0,0.0
482,Dalen Terry,CHI,40,42,20.0,3191400.0,2.2,38.0,44.4,25.9,66.7,1.0,0.6,0.3,0.1,0.0,0.0
483,Ron Harper Jr.,TOR,41,41,23.0,,2.2,9.0,50.0,33.3,100.0,0.8,0.4,0.0,0.1,0.0,0.0
484,Justin Champagnie,BOS,57,25,22.0,853241.0,2.2,5.0,33.3,20.0,0.0,1.6,0.8,0.2,0.0,0.0,0.0
485,Kennedy Chandler,MEM,51,31,20.0,1200000.0,2.2,36.0,42.2,13.3,46.2,1.1,1.6,0.3,0.1,0.0,0.0
486,Khem Birch,SAS,22,60,30.0,6667500.0,2.2,20.0,59.4,50.0,80.0,1.3,0.4,0.3,0.3,0.0,0.0
487,Andre Iguodala,GSW,44,38,39.0,2905851.0,2.1,8.0,46.7,11.1,66.7,2.1,2.4,0.5,0.4,0.0,0.0
488,Davon Reed,LAL,43,39,28.0,1902133.0,2.1,43.0,33.3,37.0,66.7,1.4,0.5,0.3,0.1,0.0,0.0
489,Nerlens Noel,BKN,45,37,29.0,9391069.0,2.1,17.0,36.1,50.0,66.7,2.7,0.6,0.9,0.6,0.0,0.0
490,Chris Silva,DAL,38,44,26.0,211045.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,Donovan Williams,ATL,41,41,21.0,239822.0,2.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
492,Garrett Temple,NOP,42,40,37.0,5155500.0,2.0,25.0,40.0,42.3,75.0,0.7,0.5,0.4,0.1,0.0,0.0
493,Stanley Umude,DET,17,65,24.0,58493.0,2.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
494,Vince Williams Jr.,MEM,51,31,22.0,,2.0,15.0,30.0,14.3,100.0,1.0,0.3,0.4,0.1,0.0,0.0
495,Ryan Rollins,GSW,44,38,20.0,1017781.0,1.9,12.0,35.0,33.3,100.0,1.0,0.5,0.1,0.1,0.0,0.0
496,Trevor Hudgins,HOU,22,60,24.0,508891.0,1.8,5.0,22.2,25.0,100.0,0.0,0.6,0.0,0.0,0.0,0.0
497,Alize Johnson,SAS,22,60,27.0,192293.0,1.8,4.0,50.0,0.0,50.0,2.5,0.3,0.3,0.0,0.0,0.0
498,Greg Brown III,POR,33,49,21.0,,1.8,16.0,39.3,14.3,41.7,1.2,0.2,0.3,0.3,0.0,0.0
499,Xavier Moon,LAC,44,38,28.0,116986.0,1.8,4.0,33.3,33.3,0.0,0.8,1.3,0.0,0.0,0.0,0.0
500,Dylan Windler,CLE,51,31,26.0,4037277.0,1.7,3.0,66.7,50.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0
501,Alex Len,SAC,48,34,30.0,3918600.0,1.7,26.0,53.3,0.0,68.8,2.3,0.5,0.2,0.4,0.0,0.0
502,Buddy Boeheim,DET,17,65,23.0,508891.0,1.6,10.0,18.5,16.0,100.0,0.6,0.4,0.2,0.0,0.0,0.0
503,JD Davison,BOS,57,25,20.0,508891.0,1.6,12.0,42.1,28.6,50.0,0.8,0.9,0.2,0.2,0.0,0.0
504,Tony Bradley,CHI,40,42,25.0,2036318.0,1.6,12.0,50.0,60.0,100.0,0.9,0.1,0.1,0.1,0.0,0.0
505,Isaiah Todd,WAS,35,47,21.0,1575000.0,1.5,6.0,15.8,10.0,100.0,2.0,0.7,0.2,0.0,0.0,0.0
506,Jordan Schakel,WAS,35,47,25.0,96514.0,1.5,2.0,50.0,100.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
507,Kendall Brown,IND,35,47,20.0,508891.0,1.5,6.0,57.1,0.0,50.0,1.0,0.5,0.7,0.0,0.0,0.0
508,Keon Ellis,SAC,48,34,23.0,508891.0,1.5,16.0,43.8,50.0,57.1,0.5,0.4,0.3,0.1,0.0,0.0
509,Mfiondu Kabengele,BOS,57,25,25.0,508891.0,1.5,4.0,28.6,0.0,100.0,2.5,0.0,0.5,0.0,0.0,0.0
510,Matthew Dellavedova,SAC,48,34,32.0,2628597.0,1.5,32.0,34.0,33.3,57.1,0.4,1.3,0.2,0.0,0.0,0.0
511,Wendell Moore Jr.,MIN,42,40,21.0,,1.4,29.0,41.9,11.8,80.0,0.6,0.6,0.3,0.2,0.0,0.0
512,Thanasis Antetokounmpo,MIL,58,24,30.0,1878720.0,1.4,37.0,43.5,0.0,50.0,1.2,0.4,0.1,0.1,0.0,0.0
513,PJ Dozier,SAC,48,34,26.0,784654.0,1.4,16.0,30.3,12.5,0.0,0.9,0.6,0.4,0.1,0.0,0.0
514,Braxton Key,DET,17,65,26.0,201802.0,1.3,3.0,100.0,0.0,100.0,0.3,0.0,0.0,0.0,0.0,0.0
515,KZ Okpala,SAC,48,34,24.0,1902133.0,1.3,35.0,42.1,33.3,87.5,1.0,0.4,0.2,0.2,0.0,0.0
516,Tyrese Martin,ATL,41,41,24.0,1017781.0,1.3,16.0,39.1,14.3,100.0,0.8,0.1,0.1,0.0,0.0,0.0
517,Ryan Arcidiacono,POR,33,49,29.0,1836090.0,1.3,20.0,24.3,34.8,0.0,0.8,1.2,0.3,0.0,0.0,0.0
518,Cole Swider,LAL,43,39,24.0,508891.0,1.3,7.0,33.3,37.5,0.0,1.0,0.6,0.0,0.0,0.0,0.0
519,Facundo Campazzo,DAL,38,44,32.0,464299.0,1.3,8.0,23.1,27.3,50.0,0.3,1.1,0.8,0.0,0.0,0.0
520,Vit Krejci,ATL,41,41,23.0,1563518.0,1.2,29.0,40.5,23.8,50.0,0.9,0.6,0.2,0.0,0.0,0.0
521,Jack White,DEN,53,29,25.0,508891.0,1.2,17.0,42.1,33.3,66.7,1.0,0.2,0.2,0.1,0.0,0.0
522,Noah Vonleh,BOS,57,25,27.0,1160955.0,1.1,23.0,45.8,25.0,100.0,2.1,0.3,0.1,0.3,0.0,0.0
523,Chima Moneke,SAC,48,34,27.0,500000.0,1.0,2.0,50.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
524,Joe Wieskamp,TOR,41,41,23.0,2909261.0,1.0,9.0,21.4,25.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0
525,Kobi Simmons,CHA,27,55,25.0,32795.0,1.0,5.0,16.7,20.0,100.0,0.8,1.0,0.0,0.4,0.0,0.0
526,Malcolm Hill,CHI,40,42,27.0,508891.0,1.0,5.0,50.0,33.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0
527,Trevor Keels,NYK,47,35,19.0,520589.0,1.0,3.0,25.0,25.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
528,Justin Jackson,BOS,57,25,28.0,1836090.0,0.9,23.0,25.9,25.0,50.0,0.7,0.4,0.2,0.2,0.0,0.0
529,Marko Simonovic,CHI,40,42,23.0,1563518.0,0.9,7.0,28.6,25.0,50.0,0.3,0.0,0.0,0.0,0.0,0.0
530,Dereon Seabron,NOP,42,40,23.0,511816.0,0.8,5.0,40.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
531,Vernon Carey Jr.,UTA,37,45,22.0,,0.5,11.0,25.0,0.0,100.0,1.0,0.3,0.2,0.2,0.0,0.0
532,Devon Dotson,WAS,35,47,23.0,169630.0,0.5,6.0,10.0,25.0,0.0,1.7,1.3,0.8,0.0,0.0,0.0
533,Leandro Bolmaro,UTA,37,45,22.0,1709300.0,0.4,14.0,15.0,0.0,0.0,0.5,0.5,0.2,0.1,0.0,0.0
534,Alondes Williams,BKN,45,37,24.0,254446.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
535,Deonte Burton,SAC,48,34,29.0,105522.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,Frank Jackson,UTA,37,45,25.0,113114.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
537,Michael Foster Jr.,PHI,54,28,20.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,Sterling Brown,LAL,43,39,28.0,3122602.0,0.0,4.0,0.0,0.0,0.0,2.0,0.5,0.8,0.0,0.0,0.0
