,Player,Team,TW,TL,Age,Salary,PTS,GP,FG%,3P%,FT%,REB,AST,STL,BLK,DD2,TD3
232,Gary Harris,ORL,34,48,28.0,13000000.0,8.3,48.0,45.0,43.1,90.0,2.0,1.2,0.9,0.3,0.0,0.0
233,Kevin Love,MIA,44,38,34.0,30556968.0,8.2,62.0,38.9,33.4,87.9,6.4,1.9,0.3,0.2,6.0,0.0
234,Nick Richards,CHA,27,55,25.0,1782621.0,8.2,65.0,62.9,100.0,74.9,6.4,0.6,0.2,1.1,14.0,0.0
235,Georges Niang,PHI,54,28,30.0,3465000.0,8.2,78.0,44.2,40.1,86.7,2.4,1.0,0.4,0.2,0.0,0.0
236,Damion Lee,PHX,45,37,30.0,2133278.0,8.2,74.0,44.2,44.5,90.4,3.0,1.3,0.4,0.1,0.0,0.0
237,Aleksej Pokusevski,OKC,40,42,21.0,3261480.0,8.1,34.0,43.4,36.5,62.9,4.7,1.9,0.6,1.3,3.0,0.0
238,Grant Williams,BOS,57,25,24.0,4306281.0,8.1,79.0,45.4,39.5,77.0,4.6,1.7,0.5,0.4,3.0,0.0
239,Jevon Carter,MIL,58,24,27.0,6025000.0,8.0,81.0,42.3,42.1,81.6,2.5,2.4,0.8,0.4,1.0,0.0
240,Kenrich Williams,OKC,40,42,28.0,2000000.0,8.0,53.0,51.7,37.3,43.6,4.9,2.0,0.8,0.3,2.0,0.0
241,Gabe York,IND,35,47,29.0,32171.0,8.0,3.0,38.1,33.3,100.0,2.0,1.7,0.7,0.0,0.0,0.0
242,Kemba Walker,DAL,38,44,33.0,37281261.0,8.0,9.0,42.1,25.0,81.0,1.8,2.1,0.2,0.2,0.0,0.0
243,Robert Williams III,BOS,57,25,25.0,,8.0,35.0,74.7,0.0,61.0,8.3,1.4,0.6,1.4,6.0,0.0
244,Jarred Vanderbilt,LAL,43,39,24.0,4374000.0,7.9,78.0,54.8,32.2,69.1,7.5,2.4,1.1,0.3,10.0,0.0
245,Ochai Agbaji,UTA,37,45,23.0,3918360.0,7.9,59.0,42.7,35.5,81.2,2.1,1.1,0.3,0.3,0.0,0.0
246,Duane Washington Jr.,NYK,47,35,23.0,,7.9,31.0,36.7,36.0,66.7,1.2,2.0,0.2,0.1,0.0,0.0
247,Chris Duarte,IND,35,47,26.0,3936960.0,7.9,46.0,36.9,31.6,84.7,2.5,1.4,0.5,0.2,0.0,0.0
248,Jeff Green,DEN,53,29,36.0,4500000.0,7.8,56.0,48.8,28.8,74.4,2.6,1.2,0.3,0.3,0.0,0.0
249,Tre Mann,OKC,40,42,22.0,3046200.0,7.7,67.0,39.3,31.5,76.4,2.3,1.8,0.6,0.2,1.0,1.0
250,Pat Connaughton,MIL,58,24,30.0,5728393.0,7.6,61.0,39.2,33.9,65.9,4.6,1.3,0.6,0.2,2.0,0.0
251,Joe Harris,BKN,45,37,31.0,18642857.0,7.6,74.0,45.7,42.6,64.3,2.2,1.4,0.5,0.2,0.0,0.0
252,Trey Lyles,SAC,48,34,27.0,2625000.0,7.6,74.0,45.8,36.3,81.5,4.1,0.9,0.4,0.4,1.0,0.0
253,T.J. Warren,PHX,45,37,29.0,,7.5,42.0,48.9,32.8,80.0,2.9,1.0,0.5,0.3,0.0,0.0
254,Torrey Craig,PHX,45,37,32.0,5121951.0,7.4,79.0,45.6,39.5,71.1,5.4,1.5,0.6,0.8,4.0,0.0
255,Obi Toppin,NYK,47,35,25.0,5348280.0,7.4,67.0,44.6,34.4,80.9,2.8,1.0,0.3,0.2,0.0,0.0
256,Trendon Watford,POR,33,49,22.0,1563518.0,7.4,62.0,56.0,39.1,72.0,3.8,2.1,0.5,0.2,3.0,0.0
257,Devonte' Graham,SAS,22,60,28.0,,7.4,73.0,37.4,35.2,74.8,1.7,2.7,0.6,0.2,0.0,0.0
258,Delon Wright,WAS,35,47,31.0,7804878.0,7.4,50.0,47.4,34.5,86.7,3.6,3.9,1.8,0.3,0.0,0.0
259,Mitchell Robinson,NYK,47,35,25.0,17045454.0,7.4,59.0,67.1,0.0,48.4,9.4,0.9,0.9,1.8,13.0,0.0
260,Josh Okogie,PHX,45,37,24.0,1968175.0,7.3,72.0,39.1,33.5,72.4,3.5,1.5,0.8,0.5,2.0,0.0
261,Jay Huff,WAS,35,47,25.0,116986.0,7.3,7.0,60.0,50.0,93.8,3.0,1.4,0.4,0.6,0.0,0.0
262,Isaiah Jackson,IND,35,47,21.0,2573760.0,7.2,63.0,56.3,14.3,65.1,4.5,0.8,0.5,1.5,5.0,0.0
263,Reggie Bullock Jr.,DAL,38,44,32.0,,7.2,78.0,40.9,38.0,70.3,3.6,1.4,0.7,0.2,1.0,0.0
264,Lindell Wigginton,MIL,58,24,25.0,99438.0,7.1,7.0,48.6,33.3,88.9,1.0,2.0,0.0,0.3,1.0,0.0
265,Edmond Sumner,BKN,45,37,27.0,1968175.0,7.1,53.0,46.1,35.6,91.7,1.5,1.3,0.6,0.2,0.0,0.0
266,Troy Brown Jr.,LAL,43,39,23.0,,7.1,76.0,43.0,38.1,87.2,4.1,1.3,0.8,0.2,2.0,0.0
267,Kendrick Nunn,WAS,35,47,27.0,5250000.0,7.1,70.0,42.4,35.4,85.4,1.6,1.3,0.4,0.1,0.0,0.0
268,Kevon Looney,GSW,44,38,27.0,8000000.0,7.0,82.0,63.0,0.0,60.6,9.3,2.5,0.6,0.6,14.0,0.0
269,Xavier Tillman,MEM,51,31,24.0,1782621.0,7.0,61.0,61.4,26.7,55.1,5.0,1.6,1.0,0.5,4.0,0.0
